GeneID	Control1	Control2	Control3	Control4	KO1	KO2	KO3	KO4
Grasp	1	78	0	2	0	41	64	60
Acvr1b	254	99	504	572	392	260	467	521
Tom1l2	297	529	193	315	346	236	293	315
Gpa33	1457	467	2752	1031	483	700	497	430
Zfp385a	23	42	115	103	68	82	154	109
Itga5	134	657	13	31	40	76	35	13
Gabra2	0	0	0	0	0	0	0	0
Wdr77	976	1184	1400	1433	1479	1890	1238	1535
Adora3	0	0	0	0	0	0	0	0
Atp5f1	7103	6933	8272	6738	6510	5317	5460	6592
Sox9	99	80	69	16	33	5	69	59
Hnrnpd	1151	408	801	891	952	967	674	1411
Dynlt1c	247	291	397	290	318	401	551	591
C1d	2650	2532	2217	2187	2423	1740	2023	2514
Gm2a	244	1362	400	219	187	202	259	247
Krit1	327	458	418	373	595	438	523	398
Clcn4	939	1366	935	734	667	646	843	794
Vmn2r88	0	0	0	0	0	0	0	0
Grm6	0	0	0	0	0	1	0	0
Sema4f	0	0	0	0	0	0	0	0
Hk2	1407	1385	969	2457	750	1123	1540	1431
Myo18a	1158	666	1328	703	355	524	570	473
Sez6	1	0	0	0	0	5	1	0
Haao	0	0	0	0	0	4	0	0
Cd52	0	0	0	0	0	0	0	7
Abhd15	0	3	0	0	4	0	0	0
Hoxb6	130	69	199	60	75	132	43	106
Loxl3	0	379	0	2	0	0	0	0
Tcl1b5	0	0	0	0	0	0	0	0
Btn1a1	0	12	0	0	0	0	0	0
Kat2b	1059	376	468	588	417	207	256	547
Rab5b	214	105	244	316	179	169	199	341
Cryba1	1	0	0	0	0	2	0	1
Dnmt3l	4358	1969	4306	2437	2826	2016	1959	2223
Aire	55	0	12	0	0	1	64	19
Icosl	200	161	475	308	253	399	267	405
Spg7	587	906	632	426	255	439	442	529
Sult5a1	0	37	0	0	43	4	24	33
Rpl13	83334	58371	66886	50351	67454	78101	59871	74936
Chmp1a	1782	1748	1794	1969	1800	2253	1912	2344
Rpa1	1002	1078	434	522	609	455	434	542
Serpinf1	1	5876	101	80	0	77	0	102
Tubgcp3	586	476	241	384	198	655	365	509
Oprm1	0	0	0	0	1	1	0	0
Polr3d	141	255	179	203	415	275	203	241
Tcf7	0	11	14	5	5	15	120	5
Ddx3x	6241	3754	6383	6630	5669	3984	4205	6159
Il12rb1	28	0	0	0	0	0	0	0
Slc5a5	0	0	0	0	0	2	0	0
Kcnn3	0	0	0	0	0	0	0	0
Usp32	288	196	540	208	375	526	519	594
Car4	0	0	0	0	0	0	0	0
Txnrd3	130	23	80	124	280	121	312	150
Fasl	0	0	0	0	0	0	0	0
Zfp512b	840	617	897	436	765	789	1166	886
Dnajc5	2230	970	1502	1204	1040	1484	1579	1380
Tpd52l2	1697	2859	1834	1873	1922	2395	2516	2616
Fmr1	478	631	585	647	484	376	279	593
Bcl11a	0	0	17	15	33	11	15	33
Il4	36	14	20	28	26	2	1	28
Pxmp4	314	558	731	321	585	568	764	773
Dlg3	180	243	284	266	191	213	349	569
Gnb1l	30	79	341	178	258	302	241	641
Dbh	0	0	0	0	0	0	0	0
Mmp11	0	159	33	4	69	159	173	216
Smarcb1	1346	1145	1617	1021	1572	2879	1771	2328
Vpreb3	0	0	0	0	22	28	0	0
Hip1r	1311	293	860	755	1108	1207	1283	1083
Nsun5	56	199	507	359	132	168	185	307
Top1mt	400	204	520	351	185	305	200	266
Hoxa10	1035	662	931	800	746	947	893	1482
Hoxa4	0	20	14	17	0	0	11	25
Gm38393	8	13	2	31	7	9	7	5
Mmp14	280	4139	374	518	648	636	632	1338
Slc7a7	77	323	75	53	0	0	5	105
Oxa1l	1231	688	1379	645	1616	1519	1102	1653
Heatr6	192	546	316	261	148	285	281	526
Ccl3	0	0	0	0	0	0	0	0
Wfdc18	0	0	0	0	0	0	0	0
Icam4	0	0	0	0	0	0	0	0
Ilf2	1279	1277	1650	714	1251	1633	1412	2056
Chtop	1476	1084	866	1252	1469	1508	1401	2047
Snapin	2717	2774	2229	2741	2625	2305	1635	2758
S100a4	627	3403	478	359	233	420	513	582
S100a3	165	199	20	123	204	151	97	216
S100a5	908	241	547	398	329	349	357	497
S100a6	92050	57290	65953	55237	47211	58905	43295	50468
Scn4a	0	0	0	0	0	0	0	0
Icam2	0	0	39	0	0	0	8	31
Mapk7	41	175	328	2	77	87	48	85
Epn2	143	325	427	261	458	198	348	480
B9d1	280	891	600	53	237	304	287	468
Sec24b	834	654	1260	496	905	633	831	1206
N4bp3	51	58	0	99	76	76	86	45
Rmnd5b	703	303	746	256	419	509	765	806
Nhp2	3593	3802	2780	2755	2762	3656	2834	4351
Vps9d1	255	196	287	208	210	376	202	191
Zfp276	25	81	125	58	109	86	102	143
C1ql4	0	0	0	0	0	0	0	4
Mfsd10	838	640	292	611	460	924	314	781
Luzp1	2235	1188	2684	1850	1723	2553	3433	2666
Slc13a2	0	0	0	0	0	0	0	0
Kctd10	183	307	71	96	29	114	192	132
Poldip2	914	1014	1002	861	546	955	796	1231
Sebox	0	0	0	0	0	0	0	0
Ift20	1247	2225	835	826	850	987	932	1014
Col6a1	695	34006	453	230	0	168	7	327
Pcbp3	352	181	435	496	406	849	182	844
Lgals9	78	4377	273	0	0	37	0	129
Araf	1690	2041	1974	1309	1596	1777	1880	2802
Cfp	64	139	3	0	0	3	51	58
Timp1	82	5696	562	2923	17	54	49	47
Uxt	623	458	515	400	414	342	394	418
Cnnm3	234	231	140	114	51	57	229	239
Lman2l	222	372	638	487	446	362	139	446
Mcm3ap	404	124	295	458	367	185	302	477
Pcnt	173	265	209	239	345	289	351	429
Ftcd	0	33	0	3	0	0	0	0
Mxd1	177	156	85	168	15	284	80	236
Gmcl1	245	307	636	467	303	148	254	287
Snrnp27	1063	1335	948	844	896	797	662	949
Oas1c	71	82	91	20	74	70	111	3
Oas1h	0	0	0	0	0	0	0	0
Ocrl	310	352	705	445	208	649	273	377
Calm1	35372	33141	29141	25166	28109	30590	27216	30853
Agpat3	367	414	402	333	143	463	281	322
Slc26a3	1	0	116	0	0	2	3	0
Sema6b	0	0	0	8	0	11	2	0
Uhrf1	9	172	32	1	164	212	165	152
Dpp9	67	219	151	217	146	90	203	302
Ramp2	0	1250	2	0	0	1	0	35
Lsr	202	196	371	238	273	623	332	388
Gramd1a	122	949	79	39	0	102	3	0
Hpn	90	108	0	0	1	58	183	199
Gabrg1	0	0	0	0	0	0	0	0
Ckb	58	272	9	21	33	59	3	28
Sp1	865	385	577	807	921	806	468	1010
Itgb7	94	77	59	0	28	229	15	134
Myg1	701	768	983	593	383	636	379	694
Rarg	610	187	378	473	470	554	440	817
Pfdn5	12354	7678	8616	6864	6163	6116	5701	7262
Efnb2	1662	1188	802	1001	1845	1441	1882	1994
Rrp15	887	580	508	514	685	710	1048	1109
Rnd2	158	175	193	346	417	517	196	503
Srr	126	163	278	265	99	140	126	150
Sync	0	0	0	0	0	17	0	0
Fndc5	0	96	0	0	0	3	6	7
Acp5	839	1873	1402	670	458	879	553	867
Cnn1	0	0	0	0	0	0	0	0
Fbxo9	772	432	546	528	316	457	622	650
Vps50	341	537	744	349	315	163	957	557
Hars	1020	1147	812	736	1141	658	645	986
Zmat2	1529	1054	1671	1343	699	1530	978	1256
Ube2c	1	731	0	1	27	447	294	108
Smg5	368	689	474	206	342	178	466	117
Cct3	5204	4591	6113	4807	4233	5129	4954	5836
Glmp	2396	3444	2542	2237	1793	2684	2451	2547
Mef2d	208	473	394	375	265	384	380	711
Tmem79	130	167	267	160	210	359	161	301
Snd1	380	609	452	324	362	897	420	855
Col18a1	1187	1294	1256	1307	1251	2578	2006	2802
Slc19a1	102	487	14	1	183	100	159	140
Kpnb1	1477	1560	1658	1213	1283	1825	1217	979
Npepps	1730	1369	1234	1048	798	1117	1495	1258
Tbx21	22	0	70	43	0	1	0	0
Mrpl10	560	676	618	345	668	892	744	758
Cyp51	1246	1112	1114	1040	281	297	249	182
Tcf25	2184	2577	2856	1535	1494	2599	2436	2952
Tubb6	803	2997	745	382	763	1680	492	1103
Def8	289	217	255	172	64	175	133	257
Meox1	54	21	98	27	0	2	21	33
Sost	0	0	0	0	0	0	1	0
Nkx2-1	0	2	2	1	1	3	2	4
Pax9	0	0	0	0	1	0	0	0
Irx2	40	0	0	35	0	2	0	15
Col1a1	294	83832	498	643	4	1228	3	1446
Itga3	3038	1283	2991	2690	2207	5841	4659	5091
Sgca	0	0	0	0	0	0	0	0
Dlx3	0	0	0	0	0	0	0	0
Foxm1	5	83	72	0	0	17	109	132
Itfg2	107	453	439	254	281	177	226	212
Nrip2	3	36	5	0	14	4	28	75
Tulp3	62	87	100	77	54	185	117	271
Gtf2h4	160	247	217	170	73	305	52	211
Tubb5	2682	4846	3173	2245	1806	4628	2458	2143
Ell2	265	209	65	122	223	202	43	92
Jup	3345	2678	4282	2929	3000	4960	4345	4379
Fkbp10	165	3268	196	23	5	53	23	61
Klhl10	0	0	0	1	0	0	1	0
Mnx1	0	0	0	0	0	0	0	0
Nom1	253	401	355	380	268	348	331	542
Ergic1	2831	1656	2982	2071	2101	2650	2255	2941
Tnk1	223	137	227	244	46	143	115	87
Acap1	19	0	14	0	0	18	0	14
Tcea3	178	678	243	283	189	255	244	262
Csn3	1	0	0	1	1	2	1	1
Ifrd1	3589	1515	3230	2262	4470	4189	4008	5417
Stk38l	1464	803	1377	1140	758	768	657	1034
Brpf1	465	230	382	120	251	380	569	390
Akr1b3	24043	16965	27065	21972	6341	10728	6673	6920
Hoxc13	0	0	0	0	0	0	8	0
Hoxc11	0	1	0	0	0	0	0	10
Hoxc8	0	40	0	6	0	0	0	0
Hoxc6	0	30	4	0	0	0	0	0
Gstt1	350	2402	203	46	203	13	14	182
Gstt3	4158	1801	4121	2966	3682	4648	3423	4324
Ddt	286	346	204	210	141	213	284	209
Tat	0	0	87	0	0	0	0	0
Marveld3	121	9	276	302	190	181	166	230
Ddx18	748	413	612	595	520	677	637	636
Ubl3	2700	1879	2701	2743	2302	3044	2073	2793
Gramd3	434	87	740	230	627	302	167	567
Eef1e1	808	821	1001	1105	669	754	621	797
Akt1	402	535	759	618	412	1083	831	1117
Cldn15	295	2351	815	0	41	28	57	83
Il16	11	177	7	8	0	2	1	50
Tcirg1	170	138	310	122	91	108	218	308
Naglu	50	808	169	66	172	425	434	323
Coasy	44	188	366	211	307	355	665	509
Smo	476	885	412	341	539	643	712	1209
Tspan33	1	1	1	4	70	149	0	2
Crnkl1	542	401	312	457	777	676	483	1050
Rin2	1415	800	1220	1699	1281	1709	1742	2225
Folh1	0	0	0	0	0	0	0	0
Chordc1	1094	610	1462	937	828	671	894	1211
Rtcb	1769	2337	2553	1800	1638	3228	2058	2622
Pwp1	491	1169	968	1249	843	1182	559	1407
Fbxo7	234	466	756	458	692	1096	910	1154
Capns1	4063	6103	2937	2798	3060	4468	2677	4093
Lrp3	0	123	0	0	0	0	0	0
Dsg4	0	0	0	0	0	0	1	0
Evx2	0	0	0	0	0	0	0	0
Hoxd13	43	0	10	0	0	30	3	0
Hoxd12	0	0	0	0	1	0	0	0
Folr1	0	1004	153	0	0	0	0	0
Clpb	372	366	1004	567	511	833	485	921
7-Sep	4260	6153	3842	3877	3678	2863	2723	3499
Zdhhc4	1412	1428	1514	1419	1076	1294	1165	1456
Rac1	3611	4507	2993	2405	2199	3030	2876	2834
Nup214	182	307	230	205	184	419	422	677
Aif1l	0	296	0	14	66	74	184	118
Cpa3	0	40	0	0	0	0	0	0
Ltbp1	126	317	235	4	145	183	205	129
Ugp2	1134	1516	1162	1291	1330	900	1177	1331
Kcnh6	0	0	0	0	0	0	0	0
Trmt1	382	390	747	717	484	843	450	904
Nacc1	24	54	59	23	45	68	78	79
Nfix	313	1056	232	236	110	177	146	108
Slc1a5	2470	2413	2727	3265	2320	3017	2335	3023
Uba1	2119	3144	2499	2150	2830	3045	2645	3512
Vwf	0	17	91	3	1	0	4	2
Siae	154	590	1024	527	459	795	279	330
Vsig2	16316	8204	16181	14337	8593	8468	7617	11384
Esam	331	969	127	0	61	211	94	101
Spa17	47	48	38	9	172	61	98	63
Fam50a	908	883	1582	1206	1248	985	1049	871
Emd	1002	323	667	946	725	861	813	824
Taco1	138	34	0	31	63	67	31	26
Grik3	1	1	2	0	0	0	0	0
Gria3	176	243	40	117	500	243	198	52
Npas1	0	0	0	0	0	0	7	0
Sipa1l2	148	341	70	2	25	60	48	4
Ap4e1	11	197	62	213	57	54	133	133
Blvra	1097	1095	1046	883	1298	1056	889	1101
Pdzd4	0	21	17	5	2	23	13	41
Srpk3	0	0	0	0	0	0	0	0
Idh3g	4392	5226	4064	4574	4466	4992	4069	4531
Pnck	254	161	414	282	487	567	162	517
Ssr4	6419	9333	6308	5088	4339	5082	4869	6013
Bcap31	17618	14914	15268	11315	10271	11807	11178	12125
Fam98a	575	216	445	331	444	446	555	683
Ltbp2	127	539	58	5	0	4	0	0
Kmt2a	495	686	975	480	305	703	712	883
Ift46	1027	992	936	699	1011	1443	1100	1002
Tmem25	0	0	4	0	0	27	29	7
Cd3g	0	0	0	0	0	2	0	0
Trappc6a	2530	2106	2372	1760	3104	3367	2522	3364
Supt6	869	1372	770	636	1121	1163	1013	1310
Spag5	0	143	65	20	22	73	246	0
Foxn1	51	0	0	0	0	82	0	0
Unc119	444	753	316	264	510	701	885	675
Rab34	681	2563	551	357	434	569	583	753
Sdf2	4892	4632	3622	3010	4093	4109	4070	4938
Ccne1	168	61	57	76	38	136	293	246
Hsf2bp	0	0	0	0	0	71	14	72
Bbc3	33	70	43	12	98	56	18	80
Mybpc3	0	0	0	2	0	0	0	0
Psmc3	5830	5698	4924	3823	4810	6163	4650	5601
Acp2	318	728	164	130	182	4	280	240
Rapsn	0	0	0	0	13	0	1	8
Slc39a13	228	548	261	133	78	162	248	286
Celf2	741	1008	1110	976	1956	2006	1588	2638
Nr1h3	9	47	28	12	36	104	37	44
Ddb2	261	220	611	251	258	397	229	533
Spi1	0	0	0	0	0	0	39	0
Sf3a1	436	695	749	989	398	1048	653	475
Stat6	540	813	1585	1266	1144	1123	1113	1425
Clgn	0	0	0	0	0	0	0	0
Napsa	0	0	0	0	0	0	0	0
Vrk3	828	913	1002	1003	1209	1105	650	1042
Smg9	225	260	281	163	341	481	447	625
Paxip1	16	173	92	232	56	82	275	137
Rmnd5a	781	607	840	894	751	533	914	1457
Mov10	0	457	243	179	47	179	164	117
Ppm1j	0	0	0	0	79	51	44	0
Rhoc	61	2952	125	49	90	240	152	190
Prr27	0	0	0	0	0	0	0	0
Tead3	56	91	131	87	46	82	98	156
Ppard	123	133	137	57	80	147	73	130
Def6	209	158	193	347	135	214	161	287
Peg3	1823	1198	3805	3091	2089	2004	2788	3697
Zim1	0	0	5	20	7	14	35	71
Metrn	0	0	0	0	0	0	1	0
Lmf1	618	754	716	679	600	966	819	680
Ciao3	196	416	373	379	190	206	263	490
Angptl4	325	2553	299	429	379	633	786	1436
Dbf4	241	98	127	229	117	218	222	189
Daxx	391	353	81	214	200	187	318	286
Cd320	324	729	331	286	345	481	406	427
Ipo4	249	829	232	421	628	583	591	619
Tm9sf1	571	931	671	191	371	594	592	723
Rec8	0	0	0	0	13	0	0	0
Irf9	37	769	213	26	219	137	112	310
Gmpr2	826	1141	775	278	961	1094	897	1246
Mdp1	1302	1182	1242	1146	1130	891	1042	1311
Dhrs1	513	1484	605	500	596	952	1103	1056
Ncan	0	0	0	0	0	0	3	0
Tmem161a	110	432	256	220	207	383	399	387
Armc6	1	0	55	73	29	1	30	22
Borcs8	1864	1657	1151	750	977	1601	1100	1182
Slc25a42	61	22	206	43	59	61	110	70
Snx9	228	789	577	464	465	781	765	409
Ranbp3	337	289	712	322	313	766	690	988
Ndufa11	8455	7888	6291	5691	4697	6446	5199	5919
Bmp8b	0	28	0	0	24	8	66	0
Nr2f6	110	78	162	120	45	185	161	207
Use1	4313	3359	4539	2982	1876	3518	2630	2745
Ocel1	83	76	198	109	44	205	78	128
Dyrk1b	5	70	188	17	71	22	73	92
Braf	1904	1316	2545	3184	3120	2338	1760	2937
Ndufb2	650	504	491	362	286	445	402	441
Hltf	610	234	1161	218	368	305	414	679
Prpf6	824	452	569	1120	728	552	1042	1058
Rgs19	677	844	676	533	550	725	671	896
Rgs20	0	2	0	7	0	0	8	11
Abhd3	0	135	70	97	0	0	80	0
Snrpd1	2232	1921	1891	1300	1342	1304	1503	2107
Tchp	326	168	292	245	160	247	167	379
Tiam1	341	265	575	506	262	376	519	637
Tsc2	479	514	547	544	360	700	507	693
Rpl3l	0	0	0	0	0	0	0	0
Slc9a3r2	409	1039	544	339	298	296	204	255
Puf60	2193	1940	2820	1496	2869	3211	3013	3255
Golga2	542	755	480	322	382	436	458	555
Uck1	659	1114	987	455	844	520	609	889
Scin	43	173	55	0	0	0	0	0
Ikzf4	44	21	0	0	12	3	1	25
Mien1	1549	1251	1045	729	534	782	741	784
Pon1	0	0	0	0	0	0	0	2
Axl	83	3998	97	8	197	203	358	399
Tgfb1	89	17	62	29	21	50	70	58
Ccdc97	244	253	518	519	329	325	307	614
Zfp40	195	144	89	83	24	86	56	109
Akap8l	959	1117	1496	1286	470	896	1188	2002
Shh	517	222	424	464	395	442	511	640
Pdcd2l	583	440	612	648	485	660	652	584
Gtf2f1	919	1572	882	664	693	1037	733	1316
Clpp	3057	2311	1959	1800	1697	2333	1579	2057
Alkbh7	473	924	920	514	690	615	639	806
Pspn	0	0	2	0	17	0	0	1
Dennd1c	98	0	101	6	8	34	46	142
Med6	904	803	452	650	663	626	773	848
Prkd1	0	36	0	0	0	25	0	16
Lcp2	0	0	1	0	0	0	1	0
Cse1l	1051	815	2123	1322	862	1055	1443	1409
Naa20	1758	2130	2208	1749	2267	1903	2472	3161
Prkra	698	458	787	939	985	868	689	902
Fkbp7	193	3368	122	119	89	16	44	203
Plekha3	273	282	174	401	119	237	149	267
Ykt6	804	680	389	517	557	783	725	590
Baz1b	942	516	546	403	338	617	863	922
Pex6	187	153	301	163	250	386	213	371
Mrpl2	2257	1295	2133	1109	1660	2395	1283	1485
Mea1	2727	2867	2902	2395	1997	3035	1931	2401
Gnmt	0	0	13	4	23	66	147	19
Grin2d	48	76	0	0	18	0	20	29
Kdelr1	674	978	451	581	526	428	584	793
Tmem143	86	2	85	30	25	30	41	111
Ggct	204	427	491	273	190	86	213	141
Jag2	806	394	1053	457	335	542	605	805
Btbd6	136	130	119	202	131	194	158	142
Nudt14	3930	2683	3682	3097	3500	3401	3626	4262
Epdr1	59	772	5	25	18	14	28	53
Flii	792	1497	712	1083	600	1111	1212	1061
Top3a	176	163	193	5	125	190	87	189
Atg4d	139	189	377	413	327	333	284	235
Qtrt1	810	574	1191	623	773	875	871	1327
Plin4	145	7	113	130	26	33	6	115
Hdgfl2	362	307	823	379	128	417	297	497
Chaf1a	0	103	0	0	0	0	0	79
Adprh	736	691	427	108	407	563	525	521
Tmem39a	334	713	228	278	441	356	111	312
Timmdc1	45	49	59	50	18	112	44	63
Pla1a	0	476	0	0	0	0	0	0
Mcm2	25	359	127	114	199	480	129	220
Tpra1	740	903	846	449	307	571	581	618
Nab1	742	676	813	414	647	683	493	668
Adgre5	58	239	0	0	19	29	0	8
Il17ra	36	259	70	109	123	128	217	180
Lamb1	435	1410	1032	276	1147	1435	1243	2030
Kcnn1	0	0	67	0	13	0	69	0
Arrdc2	9	5	111	54	113	14	173	67
Ppp1r17	0	0	0	0	0	0	0	0
Cd36	0	101	0	0	0	0	0	0
Map2k7	549	233	241	146	175	346	427	380
Timm44	737	486	762	602	920	1391	745	1480
Ap2a2	1155	1591	744	729	980	1230	1016	1647
Pnkp	520	681	423	476	234	439	302	486
Med25	104	526	239	282	131	295	349	541
Bcam	1885	1436	2815	1528	1822	2902	2112	2302
Clptm1	2081	1163	1600	936	1023	1901	1019	1056
Relb	262	1361	203	67	187	299	268	26
Tomm40	458	318	718	412	457	923	595	899
Apoe	747	8832	306	99	141	100	259	332
Apoc2	0	0	0	0	0	0	0	0
Hbp1	5756	3741	6020	4578	5574	6536	5363	6997
Prkar2b	485	211	526	302	107	35	27	21
Cdkn1b	151	85	86	206	176	170	171	232
Klf4	3767	2867	4359	2512	2171	2949	1958	2352
Ap1m1	737	2001	856	1210	942	921	866	1473
Rab8a	1601	1894	2893	1180	2404	2000	1461	2391
Hmgn2	2121	7057	1318	1123	4748	4475	4589	5125
Fam32a	2949	4801	3563	2562	3721	4014	3323	4685
Elf3	4991	2557	5366	4820	5789	5268	4333	6539
Cyp2c29	0	0	0	0	0	0	0	0
Stard3nl	839	2144	951	1006	553	824	329	817
Stk11	872	1036	495	594	786	771	869	948
Efna2	9	26	0	0	22	24	0	0
Atp5d	7517	8687	8097	5249	7253	8965	6552	7487
Ppp5c	250	839	383	620	537	434	561	858
Cdk12	245	309	444	228	183	350	284	590
Lipe	77	238	29	10	12	68	0	38
Pafah1b2	1595	2511	1563	1746	1834	1758	2072	2038
Tbc1d8	970	964	1718	1479	1239	1511	1366	1733
Cnot11	122	225	52	197	129	123	89	188
Slc2a3	58	240	52	77	49	56	64	102
Foxj2	101	250	123	189	155	187	166	142
Sri	6665	7935	5939	5492	5607	5890	5275	6591
Dgcr2	762	1008	811	741	805	457	588	1178
Irf3	328	722	431	565	267	459	678	746
Bcl2l12	117	141	22	51	42	71	64	89
Zfp959	160	221	212	280	215	158	95	226
Mpnd	520	842	1132	191	1069	1036	1039	1538
Sh3gl1	1047	1942	846	376	699	1408	1038	1614
Ebi3	20	0	31	11	4	7	15	0
Yju2	101	60	218	147	77	155	121	249
Ranbp2	1794	1179	1689	1851	1109	949	1136	1806
Edar	0	44	1	0	0	6	0	0
Grk5	64	176	89	54	28	11	0	103
Dvl3	372	467	501	355	528	482	435	539
Abcf3	673	1494	1529	545	940	842	626	1043
Eif2b5	348	947	825	646	727	871	879	1031
Cyth2	906	1433	1487	785	810	1515	1393	1727
Sult2b1	0	0	0	37	27	29	92	1
Car11	13	0	71	8	8	6	47	5
Dlgap1	114	36	2	50	37	19	4	76
Plag1	17	66	0	0	23	0	0	0
Hck	7	0	7	0	23	0	10	65
Mrpl4	1782	2088	1561	1276	1996	1986	1944	2432
Keap1	139	234	113	148	152	316	328	325
Ap1m2	1445	429	1215	848	1442	1534	891	1159
Glg1	919	2154	485	992	530	791	792	1138
Atp8b3	0	0	0	0	0	30	0	3
Btbd2	351	192	383	375	226	228	464	665
Csnk1g2	591	568	372	278	296	750	386	533
Abhd17a	834	1073	653	380	674	1180	1012	1199
Mob3a	57	78	0	42	30	45	18	24
Cacnb3	4	843	122	0	29	124	118	12
Ccdc65	0	0	0	0	0	0	1	0
Fkbp11	24	1615	2	121	0	51	106	65
Ddx23	103	119	214	65	74	97	158	95
Pld3	769	2140	837	1071	1596	1871	2093	1866
Grik5	91	54	184	95	198	272	289	258
Cd79a	0	0	0	23	17	98	30	17
Rabac1	9895	11904	8001	6636	4736	5973	5623	6186
Etv3	469	329	331	344	482	562	390	759
Prkcsh	792	1630	977	645	574	1080	1270	1012
Elavl3	0	8	0	1	0	118	0	2
Rab3b	292	150	307	99	659	1131	666	921
St8sia6	1624	340	2166	2221	181	314	248	240
Fcgrt	100	2956	98	54	271	150	188	38
Nosip	861	759	803	651	889	1807	1127	1211
Pih1d1	880	1078	737	350	626	957	641	861
Rps11	52974	36831	37341	33304	38217	43184	36383	45158
Supt5	1384	1634	1031	881	651	1543	1583	2008
Dll3	0	0	0	0	0	5	0	0
Paf1	1535	523	803	998	828	1334	1373	922
Timm50	574	1171	1069	711	950	1796	1027	1204
Med29	1164	2091	1166	1011	693	899	877	995
Bicd1	58	265	164	54	39	171	313	344
